LAST SEEN   TYPE      REASON                    OBJECT                                             MESSAGE
56m         Normal    Sync                      ingress/auth-ingress                               Scheduled for sync
40m         Warning   FileSystemResizeFailed    persistentvolumeclaim/brewstand-dataset-pvc        MountVolume.NodeExpandVolume failed for volume "brewstand-dataset-pv" requested read-only file system
41s         Warning   FileSystemResizeFailed    persistentvolumeclaim/brewstand-dataset-pvc        MountVolume.NodeExpandVolume failed for volume "brewstand-dataset-pv" requested read-only file system
58m         Normal    Killing                   pod/inventory-controller-7b8cb549c-hlkkc           Stopping container inventory-controller
56m         Normal    Scheduled                 pod/inventory-controller-7b8cb549c-jdtm7           Successfully assigned default/inventory-controller-7b8cb549c-jdtm7 to gke-brewstand-prod-default-pool-3be66a7f-6hm7
56m         Normal    Pulling                   pod/inventory-controller-7b8cb549c-jdtm7           Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest"
56m         Normal    Pulled                    pod/inventory-controller-7b8cb549c-jdtm7           Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest" in 261ms (261ms including waiting)
56m         Normal    Created                   pod/inventory-controller-7b8cb549c-jdtm7           Created container inventory-controller
56m         Normal    Started                   pod/inventory-controller-7b8cb549c-jdtm7           Started container inventory-controller
56m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-jdtm7           Startup probe failed: Get "http://10.120.3.20:3001/": dial tcp 10.120.3.20:3001: connect: connection refused
55m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-jdtm7           Startup probe failed: Get "http://10.120.3.20:3001/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
50m         Normal    Killing                   pod/inventory-controller-7b8cb549c-jdtm7           Stopping container inventory-controller
50m         Normal    Scheduled                 pod/inventory-controller-7b8cb549c-pwdg7           Successfully assigned default/inventory-controller-7b8cb549c-pwdg7 to gke-brewstand-prod-default-pool-3be66a7f-k8r3
50m         Normal    Pulling                   pod/inventory-controller-7b8cb549c-pwdg7           Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest"
50m         Normal    Pulled                    pod/inventory-controller-7b8cb549c-pwdg7           Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest" in 3.933s (3.933s including waiting)
50m         Normal    Created                   pod/inventory-controller-7b8cb549c-pwdg7           Created container inventory-controller
50m         Normal    Started                   pod/inventory-controller-7b8cb549c-pwdg7           Started container inventory-controller
50m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-pwdg7           Startup probe failed: Get "http://10.120.1.16:3001/": dial tcp 10.120.1.16:3001: connect: connection refused
50m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-pwdg7           Startup probe failed: Get "http://10.120.1.16:3001/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
39m         Normal    Killing                   pod/inventory-controller-7b8cb549c-pwdg7           Stopping container inventory-controller
38m         Normal    Scheduled                 pod/inventory-controller-7b8cb549c-w6l59           Successfully assigned default/inventory-controller-7b8cb549c-w6l59 to gke-brewstand-prod-default-pool-3be66a7f-k8r3
38m         Normal    Pulling                   pod/inventory-controller-7b8cb549c-w6l59           Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest"
38m         Normal    Pulled                    pod/inventory-controller-7b8cb549c-w6l59           Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/inventory_controller:latest" in 314ms (314ms including waiting)
38m         Normal    Created                   pod/inventory-controller-7b8cb549c-w6l59           Created container inventory-controller
38m         Normal    Started                   pod/inventory-controller-7b8cb549c-w6l59           Started container inventory-controller
38m         Warning   Unhealthy                 pod/inventory-controller-7b8cb549c-w6l59           Startup probe failed: Get "http://10.120.1.21:3001/": dial tcp 10.120.1.21:3001: connect: connection refused
